Title,Series Title,Issue_Number,Condition,Grade,Publisher,Publication Year,Format,Tradition,Era,Type,Genre,Character,Series,Universe,Sale_Price,Best_offer_accepted?,Shipping_Price,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score
Web of Spider-man #70 1st Appearance of Spider Hulk Marvel Comics,,,Brand New,,,,,,,,,,,,"
										US $19.99",,$5.90,"
			Nov 29, 2022,
				","Clermont, Florida, United States",dark_knight_comics,523
Amazing Spider-Man #799 Virgin Blue Variant Edition Dell'Otto Ltd 1000 Marvel,,,Brand New,,,,,,,,,,,,,,$5.99,"
			Nov 29, 2022,
				","Reading, Pennsylvania, United States",justcomicsv2,222
Amazing Spider-Man #270 (Marvel 1985) Canadian Newsstand Price Variant CPV VF+,,,Very Good,,,,,,,,,,,,"
										C $15.00",,C $6.50,"
			Nov 29, 2022,
				","							
											",cpeds,5478
Comics Feature #50 & 56 Lot Fanzine Wolverine Spider-Man Galactus Silver Surfer,,,--,,,,,,,,,,,,,,$4.16,"
			Nov 29, 2022,
				","Englewood, New Jersey, United States",thepopculturist,1987
"Marvel Comics, #312, The Amazing Spider-Man, Green Goblin, McFarlane, Feb 1989",,,--,,,,,,,,,,,,"
										US $10.00",,$4.00,"
			Nov 29, 2022,
				","Florence, Kentucky, United States",johnmaiden77,4596
"1979 Marvel Novel Series #7-#11 X-Men, Doc Strange, Spider-Man, Avengers vs Kang",,,Like New,,,,,,,,,,,,"
										US $65.99",,$4.00,"
			Nov 29, 2022,
				","Cottondale, Alabama, United States",blackwarriorcomics,1927
Amazing Spider-Man #14A NM Stock Image,,,--,,,,,,,,,,,,"
										US $4.99",,$6.60,"
			Nov 29, 2022,
				","
	",mycomicshop,464362
Job Lot of 25x Spider-Man Comics Weekly No. 229-298 incomplete Run 1977,,,Good,,,,,,,,,,,,,,GBP 29.49,"
			Nov 29, 2022,
				","Southampton, United Kingdom",tantibooks,1234
Spider-Man # 26 Hologram Cover w/ Poster Marvel Comics 1992 VF+/NM,,,Like New,,,,,,,,,,,,"
										US $14.99",,$6.55,"
			Nov 29, 2022,
				","Elkton, Maryland, United States",thechad777,583
Spider-Man 32 33 34 three issues job lot 1993 Marvel Comics,,,--,,,,,,,,,,,,"
										GBP 8.99",,GBP 26.23,"
			Nov 29, 2022,
				","							
											",eye-melt,5265
AMAZING SPIDER-MAN #356-MARVEL-SI,,,Like New,,,,,,,,,,,,"
										US $129.99",,$15.50,"
			Nov 29, 2022,
				","Long Beach, New York, United States",powerpop18,6971
TRUE BELIEVERS SPIDER-MAN KRAVENS LAST HUNT #1 WEB OF SPDIER-MAN #31 NM,,,--,,,,,,,,,,,,"
										US $1.99",,$5.99,"
			Nov 29, 2022,
				","
	",mountainmancomics,42953
Amazing Spider-man Lot 359 Marvel 1st Carnage Cameo NEWSTAND Shang Chi Werewolf,,,--,,,,,,,,,,,,,,$9.00,"
			Nov 29, 2022,
				","Lynnwood, Washington, United States",nwcomichunter,503
The Amazing Spiderman #306 Homage Cover! McFarlane! NM!,,,--,,,,,,,,,,,,,,$6.00,"
			Nov 29, 2022,
				","Rochester, New York, United States",bcccollectibles,566
Ultimate Comics Spider-Man #1 CGC 9.4 - 2nd Appearance & Origin of Miles Morales,,,--,,,,,,,,,,,,"
										US $185.00",,,"
			Nov 29, 2022,
				","Atlanta, Georgia, United States",joseph4768,1499
Huge 31 Avengers The Initiative Marvel Comics Comic Lot (2007 - 2010) Near mint,,,Like New,,,,,,,,,,,,,,$7.00,"
			Nov 29, 2022,
				","Romeoville, Illinois, United States",markpotter79,414
"Amazing Spider-man Vol 4 #31A Unread, NM condition, bagged and boarded",,,Brand New,,,,,,,,,,,,"
										GBP 9.99",,GBP 23.04,"
			Nov 29, 2022,
				","							
											",rage_comics,50
THE AMAZING SPIDER-MAN VOL 4  # 6  - MARVEL - 2015,,,--,,,,,,,,,,,,"
										GBP 3.00",,GBP 22.48,"
			Nov 29, 2022,
				","							
											",notpeet,1228
Amazing Spider-Man #37  First Appearance Norman Osborne 1966,,,Very Good,,,,,,,,,,,,,,$9.90,"
			Nov 29, 2022,
				","New Hyde Park, New York, United States",kman5197,429
Web of Spider-Man #1 (1985) Black Symbiote Suit Cover | 1st App Vulturions | NM,,,Brand New,,,,,,,,,,,,"
										US $34.99",,$4.59,"
			Nov 29, 2022,
				","
	",dancinbobbyd,522
"Lot Of 28 Mixed Comics - Xmen, Spiderman, Justice League , Silver Surfer & More!",,,Good,,,,,,,,,,,,,,$10.00,"
			Nov 29, 2022,
				","Macon, Georgia, United States",tcbaxter1981,535
Amazing Spider-Man #122 - Death of Green Goblin! - Marvel 1973,,,--,,,,,,,,,,,,"
										US $9.95",,$5.00,"
			Nov 29, 2022,
				","Berkeley, California, United States",sf-books-cards,1425
"WEB OF SPIDER-MAN Comic Book Vol. 1, No. 31 (Marvel October 1987) VERY NICE!",,,Like New,,,,,,,,,,,,,,$4.00,"
			Nov 29, 2022,
				","Clearwater, Florida, United States",kkuc3137,14
"Bronze Age Comics Lot-Marvel Team-Up 54 And 60-Spider-Man, Hulk And Wasp",,,--,,,,,,,,,,,,,,FREE,"
			Nov 29, 2022,
				","Jackson, MS, United States",jturner68,2862
Amazing Spider-Man Vol 1 #96 (1971): CGC 9.4 OW/W Pages - Drug Story - No CCA,,,Like New,,,,,,,,,,,,"
										US $749.00",,,"
			Nov 29, 2022,
				","Appleton, Wisconsin, United States",avogadro1953,130
The Spectacular Spiderman #51,,,--,,,,,,,,,,,,"
										US $3.00","
		Best offer accepted",$7.99,"
			Nov 29, 2022,
				","Rohnert Park, California, United States",harveydoss2016,8191
The Spectacular Spiderman #104,,,--,,,,,,,,,,,,"
										US $3.00","
		Best offer accepted",$7.99,"
			Nov 29, 2022,
				","Rohnert Park, California, United States",harveydoss2016,8191
Amazing Spider-Man #361 #362 #363 Set Carnage 1st App. CGC SS Bagley & Sketched,,,Like New,,,,,,,,,,,,"
										US $599.99","
		Best offer accepted",FREE,"
			Nov 29, 2022,
				","Victoria, Texas, United States",blba_79,240
The Spectacular Spiderman #103,,,--,,,,,,,,,,,,"
										US $3.00","
		Best offer accepted",$7.99,"
			Nov 29, 2022,
				","Rohnert Park, California, United States",harveydoss2016,8191
AMAZING SPIDER-MAN #162 PUNISHER & NIGHTCRAWLER APPEARANCE  *1976* 3.0,,,--,,,,,,,,,,,,"
										US $14.99",,$5.99,"
			Nov 29, 2022,
				","Marysville, Washington, United States",northstar_comics_collectibles,12753
Action Comics #1049 Cruz Variant NM Gem wow Superman,,,--,,,,,,,,,,,,,,,"
			Nov 29, 2022,
				","Waukesha, Wisconsin, United States",tuners36,84533
from Spiderman Comic Lot Venom Lethal Protector Numbers ￼1 3 4 5 6,,,--,,,,,,,,,,,,,,$15.00,"
			Nov 29, 2022,
				","Chatsworth, California, United States",ronnie-9393,492
MARVEL TALES #172 NEWSSTAND Spider-Man THE FINAL CHAPTER  Signed By STAN LEE ￼,,,--,,,,,,,,,,,,,,FREE,"
			Nov 29, 2022,
				","Henderson, Nevada, United States",chastephen_0,143
"Amazing Spider-man #700, VF/NM 9.0, 4th Printing; Amazing Spider-man #400 Homage",,,Like New,,,,,,,,,,,,"
										US $21.00",,$4.95,"
			Nov 29, 2022,
				","Plano, Texas, United States",purloined18,11101
"Web of Spider-Man, The #1 VF ; Marvel Comic Book",,,Like New,,,,,,,,,,,,,,$5.40,"
			Nov 29, 2022,
				","Austin, Texas, United States",nidod-0,0
Marvel Amazing Spider-Man 252 1st Black Costume Newsstand CGC Graded 9.2 Hot Key,,,--,,,,,,,,,,,,,,$16.99,"
			Nov 29, 2022,
				","Palmdale, California, United States",paradisecollectiblesinc76,4250
The Spectacular Spiderman #36,,,--,,,,,,,,,,,,"
										US $3.00","
		Best offer accepted",$7.99,"
			Nov 29, 2022,
				","Rohnert Park, California, United States",harveydoss2016,8191
